i,subset,qa,qs,qn,x,n,n.obs,prior.mean,obs.min,obs.max,posterior.mean,posterior.hdi.low,posterior.hdi.high,obs.range,hdi.range
809,S826,0.1686,0.6477,0.1837,0.7463,5277,5,0.6617775251089635,0.6585180974038279,0.6700776956604131,0.6618831073554018,0.6518941956168023,0.671913601202086,0.011559598256585146,0.0200194055852837
810,S827,0.1654,0.4246,0.41,0.5613,6911,5,0.39473303429315587,0.3857618289683114,0.40109969613659385,0.39479686406065484,0.3881320962425866,0.40154305889485786,0.015337867168282449,0.013410962652271263
811,S828,0.6714,0.0712,0.2574,0.1336,3010,5,0.6879734219269104,0.6850498338870432,0.6900332225913621,0.6880655911103457,0.674399840467908,0.7017543062848145,0.004983388704318914,0.02735446581690648
812,S829,0.5088,0.1903,0.3009,0.1655,6108,5,0.5432220039292731,0.5388015717092338,0.5464963981663392,0.5432575286002255,0.5347373945017077,0.5515429603057775,0.007694826457105397,0.01680556580406989
813,S83,0.1973,0.185,0.6177,0.636,4057,5,0.32280009859502096,0.32092679319694356,0.32561005669213705,0.3227860161238788,0.31510423645474384,0.33090343242133313,0.00468326349519349,0.015799195966589297
814,S830,0.608,0.2855,0.1065,0.8133,9756,5,0.8419639196391964,0.8400984009840098,0.8441984419844198,0.8420726910117486,0.833575164762688,0.8504267730760947,0.00410004100041006,0.016851608313406707
815,S831,0.3615,0.286,0.3526,0.1353,2219,5,0.4053177106804867,0.40198287516899506,0.41009463722397477,0.4055603151179401,0.3942415551178343,0.4177782434199403,0.00811176205497971,0.02353668830210598
816,S832,0.4971,0.4925,0.0104,0.8643,7570,5,0.9225891677675033,0.91889035667107,0.9276089828269485,0.9225686677672266,0.9118850648933158,0.9321576915101646,0.008718626155878484,0.02027262661684881
817,S833,0.3374,0.2254,0.4371,0.245,6907,5,0.38998117851455044,0.3884465035471261,0.3913421166932098,0.389993989432244,0.3833732119911103,0.3966345308386744,0.0028956131460836643,0.013261318847564096
818,S834,0.4339,0.0344,0.5317,0.0755,8907,5,0.42669810261592006,0.4259571123835186,0.4274166385988548,0.4267066612070968,0.42017511817962705,0.43284896049268073,0.0014595262153362376,0.012673842313053685
819,S835,0.2027,0.2392,0.5582,0.0566,6984,5,0.21643757159221078,0.2144902634593356,0.21792668957617412,0.21649465246663027,0.2116578003945665,0.22115098261010857,0.0034364261168385035,0.009493182215542073
820,S836,0.354,0.2256,0.4204,0.8453,3935,5,0.5528843710292249,0.5499364675984753,0.5547649301143583,0.5528820717632931,0.5425062438741929,0.56313257459775,0.004828462515883092,0.02062633072355713
821,S837,0.0793,0.5843,0.3364,0.5548,4497,5,0.39715365799421837,0.3922615076717812,0.40226817878585724,0.3972183201503812,0.3885011325759783,0.40518813567036394,0.010006671114076049,0.016687003094385644
822,S838,0.3887,0.4291,0.1822,0.3997,1500,5,0.5613333333333334,0.5446666666666666,0.5713333333333334,0.5614668317035756,0.5450954963671634,0.5788821425819839,0.026666666666666727,0.033786646214820526
823,S839,0.0714,0.4306,0.498,0.9335,7391,5,0.4758490055472872,0.47368421052631576,0.47923149776755514,0.4758899273122136,0.46907749201023685,0.4831857617072497,0.005547287241239374,0.014108269697012843
824,S84,0.6428,0.2284,0.1288,0.5923,7526,5,0.7821419080520862,0.7811586500132873,0.7834174860483657,0.7821318491034328,0.7732591875499838,0.791277838227458,0.002258836035078371,0.018018650677474213
825,S840,0.4061,0.4553,0.1386,0.9235,3597,5,0.8335835418404226,0.8318042813455657,0.8354184042257436,0.833621452329159,0.8204633313615336,0.8469147185201725,0.003614122880177928,0.026451387158638928
826,S841,0.7669,0.0217,0.2114,0.5765,9073,5,0.774628017193872,0.7738344538741321,0.7757081450457401,0.7746470632839771,0.7662969324697233,0.7829812714601139,0.0018736911716080717,0.016684338990390568
827,S842,0.1639,0.5073,0.3287,0.2892,8625,5,0.3059710144927536,0.3020289855072464,0.3089855072463768,0.30598398086069056,0.3006250764384595,0.3114291442532917,0.006956521739130417,0.01080406781483223
828,S843,0.3187,0.5363,0.145,0.701,6656,5,0.6845853365384615,0.6799879807692307,0.6908052884615384,0.6847259431876179,0.676105772610925,0.6945077322910675,0.01081730769230771,0.018401959680142577
829,S844,0.7066,0.1982,0.0951,0.5909,7697,5,0.8193322073535143,0.8159022995972457,0.8222684162660777,0.8193029208782326,0.8097742701914279,0.8281392567674833,0.0063661166688320225,0.018364986576055453
830,S845,0.2844,0.3769,0.3386,0.069,8001,5,0.3071616047994001,0.30496187976502936,0.3088363954505687,0.3071087197136392,0.30147551091320357,0.31226977765069097,0.003874515685539315,0.010794266737487401
